Year,Category,SubCategory,SubSubCategory,Food insecure-Percent
2001,All households,,,10.7
2001,Household composition,With children < 18 yrs,,16.1
2001,Household composition,With children < 18 yrs,With children < 6 yrs,17.4
2001,Household composition,With children < 18 yrs,Married-couple families,10.7
2001,Household composition,With children < 18 yrs,"Female head, no spouse",31.9
2001,Household composition,With children < 18 yrs,"Male head, no spouse",15.9
2001,Household composition,With children < 18 yrs,Other household with child,18.1
2001,Household composition,With no children < 18 yrs,,7.7
2001,Household composition,With no children < 18 yrs,More than one adult,6
2001,Household composition,With no children < 18 yrs,Women living alone,9.7
2001,Household composition,With no children < 18 yrs,Men living alone,10.4
2001,Household composition,With elderly,,5.5
2001,Household composition,With elderly,Elderly living alone,6.1
2001,Race/ethnicity of households,White non-Hispanic,,7.6
2001,Race/ethnicity of households,Black non-Hispanic,,21.3
2001,Race/ethnicity of households,Hispanic,,21.8
2001,Race/ethnicity of households,Other,,10.3
2001,Household income-to-poverty ratio,Under 1.00,,36.5
2001,Household income-to-poverty ratio,Under 1.30,,32.3
2001,Household income-to-poverty ratio,Under 1.85,,27.9
2001,Household income-to-poverty ratio,1.85 and over,,4.9
2001,Household income-to-poverty ratio,Income unknown,,7.2
2001,Area of residence,Inside metropolitan area,,10.5
2001,Area of residence,Inside metropolitan area,In principal cities,13.9
2001,Area of residence,Inside metropolitan area,Not in principal cities,8.3
2001,Area of residence,Outside metropolitan area,,11.5
2001,Census geographic region,,Northeast,8.2
2001,Census geographic region,,Midwest,9
2001,Census geographic region,,South,12.3
2001,Census geographic region,,West,11.9
2002,All households,,,11.1
2002,Household composition,With children < 18 yrs,,16.5
2002,Household composition,With children < 18 yrs,With children < 6 yrs,17.8
2002,Household composition,With children < 18 yrs,Married-couple families,10.4
2002,Household composition,With children < 18 yrs,"Female head, no spouse",32
2002,Household composition,With children < 18 yrs,"Male head, no spouse",21.9
2002,Household composition,With children < 18 yrs,Other household with child,15.3
2002,Household composition,With no children < 18 yrs,,8.1
2002,Household composition,With no children < 18 yrs,More than one adult,6.3
2002,Household composition,With no children < 18 yrs,Women living alone,10.5
2002,Household composition,With no children < 18 yrs,Men living alone,11.2
2002,Household composition,With elderly,,6.3
2002,Household composition,With elderly,Elderly living alone,7.4
2002,Race/ethnicity of households,White non-Hispanic,,8
2002,Race/ethnicity of households,Black non-Hispanic,,22
2002,Race/ethnicity of households,Hispanic,,21.7
2002,Race/ethnicity of households,Other,,9.8
2002,Household income-to-poverty ratio,Under 1.00,,38.1
2002,Household income-to-poverty ratio,Under 1.30,,33.7
2002,Household income-to-poverty ratio,Under 1.85,,29.2
2002,Household income-to-poverty ratio,1.85 and over,,5.1
2002,Household income-to-poverty ratio,Income unknown,,7.6
2002,Area of residence,Inside metropolitan area,,11
2002,Area of residence,Inside metropolitan area,In principal cities,14.4
2002,Area of residence,Inside metropolitan area,Not in principal cities,8.8
2002,Area of residence,Outside metropolitan area,,11.6
2002,Census geographic region,,Northeast,9.2
2002,Census geographic region,,Midwest,9.6
2002,Census geographic region,,South,12.4
2002,Census geographic region,,West,12.1
2003,All households,,,11.2
2003,Household composition,With children < 18 yrs,,16.7
2003,Household composition,With children < 18 yrs,With children < 6 yrs,17.5
2003,Household composition,With children < 18 yrs,Married-couple families,10.8
2003,Household composition,With children < 18 yrs,"Female head, no spouse",31.7
2003,Household composition,With children < 18 yrs,"Male head, no spouse",21.7
2003,Household composition,With children < 18 yrs,Other household with child,20
2003,Household composition,With no children < 18 yrs,,8.2
2003,Household composition,With no children < 18 yrs,More than one adult,6.6
2003,Household composition,With no children < 18 yrs,Women living alone,10.1
2003,Household composition,With no children < 18 yrs,Men living alone,10.9
2003,Household composition,With elderly,,6
2003,Household composition,With elderly,Elderly living alone,6.2
2003,Race/ethnicity of households,White non-Hispanic,,7.8
2003,Race/ethnicity of households,Black non-Hispanic,,22.1
2003,Race/ethnicity of households,Hispanic,,22.3
2003,Race/ethnicity of households,Other,,10.8
2003,Household income-to-poverty ratio,Under 1.00,,35.1
2003,Household income-to-poverty ratio,Under 1.30,,32.5
2003,Household income-to-poverty ratio,Under 1.85,,28.6
2003,Household income-to-poverty ratio,1.85 and over,,4.9
2003,Household income-to-poverty ratio,Income unknown,,7.9
2003,Area of residence,Inside metropolitan area,,11.1
2003,Area of residence,Inside metropolitan area,In principal cities,14.8
2003,Area of residence,Inside metropolitan area,Not in principal cities,9
2003,Area of residence,Outside metropolitan area,,11.6
2003,Census geographic region,,Northeast,9.6
2003,Census geographic region,,Midwest,9.9
2003,Census geographic region,,South,12.4
2003,Census geographic region,,West,12.1
2004,All households,,,11.9
2004,Household composition,With children < 18 yrs,,17.6
2004,Household composition,With children < 18 yrs,With children < 6 yrs,18.5
2004,Household composition,With children < 18 yrs,Married-couple families,11.6
2004,Household composition,With children < 18 yrs,"Female head, no spouse",33
2004,Household composition,With children < 18 yrs,"Male head, no spouse",22.2
2004,Household composition,With children < 18 yrs,Other household with child,17.7
2004,Household composition,With no children < 18 yrs,,8.9
2004,Household composition,With no children < 18 yrs,More than one adult,6.7
2004,Household composition,With no children < 18 yrs,Women living alone,11.8
2004,Household composition,With no children < 18 yrs,Men living alone,12.3
2004,Household composition,With elderly,,6.5
